Platform,Controller,Trajectory,Modifiers,Position_RMSE_m,Comp_Time_ms,trajectory_key,trajectory_label,case_name,controllers,nr_profile_requested,ff_requested,results_dir,summary_csv,status,controller_key,comparison_label,trajectory_display
SIM,NR Enhanced,YAW_ONLY,workshop+ff,0.0507701480450237,1.0057053837089902,yaw_only,Yaw Only,nr_workshop_ff,newton_raphson_enhanced,workshop,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff/analysis/summary.csv,reused,newton_raphson_enhanced,NR Enhanced workshop ff,Yaw Only
SIM,NR Standard,YAW_ONLY,workshop+ff,0.1753082994105649,0.7639026960799826,yaw_only,Yaw Only,nr_workshop_ff,nr_diff_flat,workshop,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff/analysis/summary.csv,reused,newton_raphson,Standard NR workshop ff,Yaw Only
SIM,NMPC,YAW_ONLY,noff,0.0530211950777114,1.8107533454894509,yaw_only,Yaw Only,nmpc_noff,nmpc,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nmpc_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nmpc_noff/analysis/summary.csv,reused,nmpc,NMPC noff,Yaw Only
SIM,NMPC,YAW_ONLY,ff,0.049209832834386,1.930519739786736,yaw_only,Yaw Only,nmpc_ff,nmpc,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nmpc_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nmpc_ff/analysis/summary.csv,completed,nmpc,NMPC ff,Yaw Only
SIM,NR Diff-Flat,CIRCLE_HORIZONTAL,baseline+noff,0.5951581127435746,0.7474239667256174,circle_horz,Circle Horizontal,nr_baseline_noff,newton_raphson,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat baseline noff,Circle Horizontal
SIM,NR Enhanced,CIRCLE_HORIZONTAL,baseline+noff,0.3797327585354212,0.5865104993183914,circle_horz,Circle Horizontal,nr_baseline_noff,newton_raphson_enhanced,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff/analysis/summary.csv,completed,newton_raphson_enhanced,NR Enhanced baseline noff,Circle Horizontal
SIM,NR Standard,CIRCLE_HORIZONTAL,baseline+noff,0.3856890305752062,0.2624709470614438,circle_horz,Circle Horizontal,nr_baseline_noff,nr_diff_flat,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff/analysis/summary.csv,completed,newton_raphson,Standard NR baseline noff,Circle Horizontal
SIM,NR Diff-Flat,CIRCLE_HORIZONTAL,baseline+ff,0.6347439640503043,0.7512013117471836,circle_horz,Circle Horizontal,nr_baseline_ff,newton_raphson,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat baseline ff,Circle Horizontal
SIM,NR Enhanced,CIRCLE_HORIZONTAL,baseline+ff,0.3967696102632601,0.8563715339506554,circle_horz,Circle Horizontal,nr_baseline_ff,newton_raphson_enhanced,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff/analysis/summary.csv,completed,newton_raphson_enhanced,NR Enhanced baseline ff,Circle Horizontal
SIM,NR Standard,CIRCLE_HORIZONTAL,baseline+ff,0.3855459350936633,0.7127083387950433,circle_horz,Circle Horizontal,nr_baseline_ff,nr_diff_flat,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff/analysis/summary.csv,completed,newton_raphson,Standard NR baseline ff,Circle Horizontal
SIM,NR Diff-Flat,CIRCLE_HORIZONTAL,workshop+noff,0.3026924545044415,0.73760648236222,circle_horz,Circle Horizontal,nr_workshop_noff,newton_raphson,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat workshop noff,Circle Horizontal
