trajectory_key,trajectory_display,comparison_label_final,Position_RMSE_m,Comp_Time_ms,results_dir
yaw_only,Yaw Only,NMPC noff,0.053021,1.810753,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nmpc_noff
yaw_only,Yaw Only,NR Diff-Flat baseline ff,0.091643,0.751115,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff
yaw_only,Yaw Only,NR Diff-Flat baseline noff,0.091451,0.729631,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff
yaw_only,Yaw Only,NR Diff-Flat workshop ff,0.088704,0.895774,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff
yaw_only,Yaw Only,NR Diff-Flat workshop noff,0.054466,0.742011,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff
yaw_only,Yaw Only,NR Enhanced baseline ff,0.174216,0.869236,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff
yaw_only,Yaw Only,NR Enhanced baseline noff,0.170079,0.595016,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff
yaw_only,Yaw Only,NR Enhanced workshop ff,0.05077,1.005705,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff
yaw_only,Yaw Only,NR Enhanced workshop noff,0.048304,0.683106,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff
yaw_only,Yaw Only,Standard NR baseline ff,0.166314,0.650369,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff
yaw_only,Yaw Only,Standard NR baseline noff,0.159581,0.256111,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff
yaw_only,Yaw Only,Standard NR workshop ff,0.175308,0.763903,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff
yaw_only,Yaw Only,Standard NR workshop noff,0.101653,0.267677,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff
